"Civilian nominations, totaling 53 6, disposed of as follows:",,
Confirmed ......................................................................................,,420
Unconfirmed ..................................................................................,,98
Withdrawn ....................................................................................,,8
Failed at August-September adjournment .....................................,,5
Failed at adjournment ....................................................................,,5
"Civilian nominations (FS, PHS, CG, NOAA), totaling 2,840, disposed",,
of as follows:,,
Confirmed ......................................................................................,,"2,836"
Unconfirmed .. ..  ..  .. .  .. .  .. .  ..  ..  .. .  ..  .. .  .. . .  ...  ..  .. . . .. .  ..  .. .  .. . .  .. .  ..  .. .  .. . .  .. . .. .. .  .. . .  ..  .. . .,,3
Withdrawn ....................................................................................,,
"Air Force nominations, totaling 13,777, disposed of as follows:",,
Confirmed ......................................................................................,,"13,750"
Unconfirmed ..................................................................................,,26
Withdrawn ....................................................................................,,
"Army nominations, totaling 13,137, disposed of as follows:",,
Confirmed ......................................................................................,,"13,098"
Unconfirmed ..................................................................................,,37
Withdrawn ....................................................................................,,2
"Navy nominations, totaling 13,541, disposed of as follows:",,
Confirmed ......................................................................................,,"13,538"
Unconfirmed .. . . . . .  .. .  ..  .. .  .. .  ..  .. . . .  ..  .. .  ..  ..  .. .  ..  . ..  . .. . . .  .. . .  .. .  .. .  ..  .. . . . . . .. .  ..  .. .  ..  .. .  ..,,3
"Marine Corps nominations, totaling 1,538, disposed of",as follows:,
Confirmed ......................................................................................,,"1,538"
S11mmary,,
Total nominations received this session .................................................,,"45,369"
"Total confirmed .......................................................................... , .. ..  .. . .  ..",,"45,180"
Total unconfirmed .................................................................................,,167
Total withdrawn ....................................................................................,,12
Total failed at August-September adjournment ....................................,,5
Total failed at adjournment ...................................................................,,5
