Civilian nominations totaling 408 (and,98 nominations,carried over,,
"from the first session), disposed of as follows:",,,,
Confirmed ......................................................................................,,,,289
Unconfirmed ..................................................................................,,,,189
Withdrawn ....................................................................................,,,,4
"Civilian nominations (FS, PHS, CG, NOAA),",totaling,"2,253 (and",,
3 nominations carried over from,"the first session),",disposed,,
of as follows:,,,,
Confirmed ......................................................................................,,,,"2,252"
Unconfirmed ..................................................................................,,,,4
"Air Force nominations, totaling 6,708",(and 26 nominations,carried,,
"over from the first session), disposed of as follows:",,,,
Confirmed ..................................................................................... .,,,,"6,728"
Unconfirmed ..................................................................................,,,,3
Withdrawn ....................................................................................,,,,3
"Army nominations, totaling 11,201 (and 37 nominations carried over",,,,
"from the first session), disposed of as follows:",,,,
Confirmed ,,,,"11,232"
Unconfirmed ..................................................................................,,,,4
Withdrawn ....................................................................................,,,,2
"Navy nominations, totaling 8,00 l (and 3 nominations carried over",,,,
"from the first session), disposed of as follows:",,,,
Confirmed ......................................................................................,,,,"7,696"
Unconfirmed ..................................................................................,,,,305
Withdrawn ....................................................................................,,,,3
"Marine Corps nominations, totaling 2,506,",disposed of as,follows:,,
Confirmed ......................................................................................,,,,"2,422"
Unconfirmed ..................................................................................,,,,84
Summary,,,,
Total carried over from first session ..................................................... .,,,,167
Total nominations received this session .................................................,,,,"31,077"
Total confirmed .....................................................................................,,,,"30,6l9"
Total unconfirmed . .. ....... ............... ................................ ................ ........,,,,589
Total withdrawn ....................................................................................,,,,12
