Civilian nominations (other,than,"lists),",totaling,"98,",disposed,of,as,,,
follows:,,,,,,,,,,
Confirmed .......................................................................................,,,,,,,,,,361
Unconfirmed ...................................................................................,,,,,,,,,,124
Withdrawn .....................................................................................,,,,,,,,,,13
"Civilian nominations (FS, PHS, CG, NOAA), totaling 3,105, disposed",,,,,,,,,,
of as follows:,,,,,,,,,,
Confirmed .......................................................................................,,,,,,,,,,"3,019"
Unconfirmed ...................................................................................,,,,,,,,,,86
"Air Force nominations, totaling 8,141, disposed of as follows:",,,,,,,,,,
Confirmed .......................................................................................,,,,,,,,,,"8,120"
Unconfirmed ...................................................................................,,,,,,,,,,21
"Army nominations, totaling 6,244, disposed of as follows:",,,,,,,,,,
Confirmed .......................................................................................,,,,,,,,,,"6,244"
Unconfirmed ...................................................................................,,,,,,,,,,2
"Navy nominations, totaling 6,157, disposed of as follows:",,,,,,,,,,
Confirmed .......................................................................................,,,,,,,,,,"6,153"
Unconfirmed ...................................................................................,,,,,,,,,,4
"Marine Corps nominations,",totaling,"1,679,",disposed,,of as follows:,,,,,
Confirmed .......................................................................................,,,,,,,,,,"1,679"
Unconfirmed ...................................................................................,,,,,,,,,,0
,,Summary,,,,,,,,
Total nominations received .....................................................................,,,,,,,,,,"25,828"
Total confirmed ......................................................................................,,,,,,,,,,"25,576"
Total unconfirmed ..................................................................................,,,,,,,,,,237
Total withdrawn .....................................................................................,,,,,,,,,,13
Total returned to the White House,,.......................................................,,,,,,,,2
