Civilian nominations (other,than,"lists),",totaling,"926,",disposed,of,as,,,
follows:,,,,,,,,,,
Confirmed ......................................................................................,,,,,,,,,,528
Unconfirmed ..................................................................................,,,,,,,,,,166
Withdrawn ....................................................................................,,,,,,,,,,69
Returned to White House,.............................................................,,,,,,,,,163
Other Civilian nominations,"(lists),",totaling,"2,483,",disposed,,of,as,,,
follows:,,,,,,,,,,
Confirmed ......................................................................................,,,,,,,,,,"1,697"
Unconfirmed ..................................................................................,,,,,,,,,,535
Returned to White House,.............................................................,,,,,,,,,251
"Air Force nominations, totaling 6,801, disposed of as follows:",,,,,,,,,,
Confirmed ......................................................................................,,,,,,,,,,"6,750"
Unconfirmed ..................................................................................,,,,,,,,,,4
Returned to White House,.............................................................,,,,,,,,,47
"Army nominations, totaling 7,142, disposed of as follows:",,,,,,,,,,
Confirmed ......................................................................................,,,,,,,,,,"6,981"
Unconfirmed ..................................................................................,,,,,,,,,,53
Returned to White House,.............................................................,,,,,,,,,108
"Navy nominations, totaling 5,593, disposed of as follows:",,,,,,,,,,
Confirmed ......................................................................................,,,,,,,,,,"5,564"
Returned to White House,.............................................................,,,,,,,,,29
"Marine Corps nominations,",totaling,"3,625,",disposed,,of as follows:,,,,,
Confirmed ......................................................................................,,,,,,,,,,"3,571"
Unconfirmed ..................................................................................,,,,,,,,,,33
Returned to White House,.............................................................,,,,,,,,,21
Summary,,,,,,,,,,
otal nominations carried over from the First Session ...........................,0,,,,,,,,,
otal nominations received this Session ................................................,"26,570",,,,,,,,,
otal confirmed .....................................................................................,"25,091",,,,,,,,,
otal unconfirmed .................................................................................,791,,,,,,,,,
otal withdrawn ....................................................................................,69,,,,,,,,,
otal returned to the White House ......................................................,619,,,,,,,,,
