"Civilian nominations, totaling 489, disposed of as follows:",
Confirmed ......................................................................................,229
Unconfirmed ..................................................................................,2
Withdrawn ....................................................................................,9
Returned to White House .............................................................,249
"Other Civilian nominations, totaling 1,737, disposed of as follows:",
Confirmed ......................................................................................,276
Returned to White House .............................................................,"1,461"
"Air Force nominations, totaling 5,479, disposed of as follows:",
Confirmed ......................................................................................,"5,471"
Withdrawn ....................................................................................,1
Returned to White House .............................................................,7
"Army nominations, totaling 6,726, disposed of as follows:",
Confirmed ......................................................................................,"6,712"
Returned to White House .............................................................,14
"Navy nominations, totaling 3,881, disposed of as follows:",
Confirmed ......................................................................................,"3,879"
Withdrawn ....................................................................................,1
Returned to White House .............................................................,1
"Marine Corps nominations, totaling 762, disposed of as follows:",
Confirmed ......................................................................................,761
Returned to White House .............................................................,1
Summary,
Total nominations carried over from the First Session ...........................,0
Total nominations received this Session ................................................,"19,074"
Total confirmed .....................................................................................,"17,328"
Total unconfirmed .................................................................................,2
Total withdrawn ....................................................................................,11
Total returned to the White House ......................................................,"1,733"
