"Civilian nominees, totaling 540, disposed of as follows:",
Confirmed ......................................................................................,346
Unconfirmed ..................................................................................,87
Withdrawn ....................................................................................,21
"Other Civilian nominees, totaling 1,626, disposed of as follows:",
Confirmed ......................................................................................,"1,322"
Unconfirmed ..................................................................................,303
Withdrawn ....................................................................................,1
"Air Force nominees, totaling 5,979, disposed of as follows:",
Confirmed ......................................................................................,"5,977"
Unconfirmed ..................................................................................,2
"Army nominees, totaling 6,569, disposed of as follows:",
Confirmed ......................................................................................,"6,557"
Unconfirmed ..................................................................................,12
"Navy nominees, totaling 4,616, disposed of as follows:",
Confirmed ......................................................................................,"4,611"
Unconfirmed ..................................................................................,5
"Marine Corps nominees, totaling 1,432, disposed of as follows:",
Confirmed ......................................................................................,"1,429"
Unconfirmed ..................................................................................,3
Summary,
Total nominees carried over from the First Session ...............................,0
Total nominees received this Session .....................................................,"20,762"
Total confirmed .....................................................................................,"20,242"
Total unconfirmed .................................................................................,93
Total withdrawn ....................................................................................,22
Total returned to the White House ......................................................,405
