,Senate,Hou.re,Total
Days in session ...............................,170,169,
Time in session ..............................,"1,214 hrs., 52'","909 hrs., 57'",
Congressional Record:,,,
Pages of proceedings ..............,"18,660","13,078","31,738"
Extensions of Remarks ............,,,"5,016"
Public bills enacted into law ...........,96,144,240
Private bills enacted into law ..........,2,5,7
Bills in conference. .........................,6,15,
"Measures passed, total ....................",616,644,"1,260"
Senate bills ..............................,ll0,44,
House bills ..............................,135,272,
Senate joint resolutions ...........,91,63,
House joint resolutions ...........,48,66,
Senate concurrent resolutions ..,25,8,
House concurrent resolutions. .,31,53,
Simple resolutions ...................,176,138,
"Measures reported, total... ..............",*398,*426,824
Senate bills ..............................,183,9,
House bills ..............................,59,299,
Senate joint resolutions ...........,72,,
House joint resolutions ...........,6,9,
Senate concurrent resolutions ..,11,,
House concurrent resolutions ..,5,7,
Simple resolutions ...................,62,102,
Special reports ................................,28,56,
Conference reports .........................,1,16,
Measures pending on calendar .......,76,48,
"Measures introduced, total .............","2,685","4,857","7,542"
Bills ........................................,"1,998","3,840",
Joint resolutions ......................,239,437,
Concurrent resolutions ............,95,235,
Simple resolutions ...................,353,345,
Quorum calls ..................................,36,23,
Yea-and-nay votes ..........................,420,234,
Recorded votes ..............................,,254,
Bills vetoed ....................................,l,2,3
Vetoes overridden ..........................,2,2,
