,,Senate,House,Total
Days in session ................................... .,,129,123,
Time in session ...................................,,"1,091 hrs., 09'","856 hrs., 58'",
Congressional Record:,,,,
Pages of proceedings .................. .,,"18,344","12,611","30,955"
"Extensions of Remarks ..... ., .........",,,"3,332","3,332"
Public bills enacted into law ...............,,113,234,347
Private bills enacted into law ............. .,,4,14,18
Bills in conference .............................. .,,,6,7
"Measures passed, total ...................... : ..",,651,746,"1,397"
Senate bills ................................. .,,191,112,
House bills ................................. .,,229,344,
Senate joint resolutions .............. .,,44,25,
House joint resolutions .............. .,,51,59,
Senate concurrent resolutions,,28,16,
House concurrent resolutions,,24,39,
Simple resolutions ...................... .,,84,151,
"Measures reported, total ..................... .",,*368,*553,921
Senate bills ................................. .,,210,31,
House bills ................................. .,,78,389,
Senate joint resolutions .............. .,,46,,
House joint resolutions .............. .,,11,7,
Senate concurrent resolutions,,8,,
House concurrent resolutions ..... .,,2,9,
Simple resolutions ...................... .,,13,117,
Special reports .................................... .,,9,50,
Conference reports .............................. .,,,53,
Measures pending on calendar ........... ..,,178,108,
"Measures introduced, total ................. .",,"1,544","2,714","4,258"
Bills ............................................ .,,"1,256","2,127",
Joint resolutions ..........................,,108,176,
Concurrent resolutions ............... .,,57,121,
Simple resolutions .......................,,123,290,
Quorum calls ...................................... .,,5,15,
Yea-and-nay votes .............................. .,,270,271,
Recorded votes ................................... .,,,202,
Bills vetoed .........................................,,8,13,21
Vetoes overridden .............................. ..,,,2,
