,Senate,House,Total
Days in session ....................................,138,123,
Time in session ...................................,"1,243 hrs., 33","904 hrs., 46",
Congressional Record:,,,
Pages of proceedings ...................,"15,471","11,573","27,044"
Extensions of Remarks ................,,"2,340","2,340"
Public bills enacted into law ...............,87,168,255
Private bills enacted inco law ..............,I,6,7
Bills in conference ...............................,3,5,8
"Measures passed, coral .........................",465,579,"1,044"
Senate bills ..................................,126,75,
House bills ..................................,165,266,
Senate joint resolutions .............. .,44,27,
House joint resolutions .............. .,16,27,
Senate concurrent resolutions,8,9,
House conC:urrent resolutions ..... .,24,39,
Simple resolutions .......................,82,136,
"Measures reported, coral ......................",*313,*392,705
Senace bills ..................................,195,26,
House bills ..................................,83,260,
Senate joint resolutions ............. ..,16,,
House joinc resolutions ...............,,3,
Senate concurrent resolutions,2,,
House concurrent resolutions ..... .,2,3,
Simple resolucions .......................,15,97,
Special reports .....................................,11,30,
Conference reports ...............................,,42,
Measures pending on calendar .............,266,88,
"Measures introduced, coral ..................",999,"2,104","3,103"
Bills .............................................,788,"1,590",
Jaine resolucions ..........................,72,126,
Concurrent resolutions ............... .,23,123,
Simple resolucions ...................... .,116,265,
Quorum calls .......................................,6,10,
Yea-and-nay voces ...............................,329,205,
Recorded voces ....................................,,292,
Bills vecoed .........................................,,,
Vecoes overridden ................................,,,
