,,Senate Ho11se,,Total
Days in session ....................................,,211 168,,
Time in session .................................. .,,"1,839 hrs., 10' 1,525 hrs., 25'",,
Congressional Record:,,,,
Pages of proceedings ...................,,"19,345 15,658",,"35,003"
Extensions of Remarks ................,,"2,455",,"2,455"
Public bills enacted into law .............. .,,28 60,,88
Private bills enacted into law ..............,,,,
"Measures passed, total ........................ .",,346 483,,
Senate bills ..................................,,77 34,,
House bills ..................................,,80 214,,
Senate joint resolutions ...............,,7,,
House joint resolutions ...............,,11 15,,
Senate concurrent resolutions,,14 10,,
House concurrent resolutions,,18 27,,
Simple resolutions .......................,,139 183,,
"Measures reported, total ..................... .",,*249 *400,,
Senate bills ................................. .,,166 8,,
House bills ..................................,,35 236,,
Senate joint resolutions ...............,,8,,
House joint resolutions .............. .,,7 7,,
Senate concurrent resolutions,,7,,
House concurrent resolutions ......,,3,,
Simple resolutions ...................... .,,25 146,,
Special reporcs .....................................,,16 12,,
Conference reports .............................. .,,0 32,,
Measures pending on calendar .............,,162 50,,
"Measures introduced, total ................. .",,"1,801 3.430",,
Bills .............................................,,"1,514 2,840",,
Joint resolutions ..........................,,45 137,,
Concurrent resolutions ............... .,,36 130,,
Simple resolutions ...................... .,,206 324,,
Quorum calls .......................................,,3 18,,
Yea-and-nay votes .............................. .,,613 299,,
Recorded votes ....................................,,568,,
,,9,,
Vetoes overridden ............................... .,,,,
