"",,Senate,House,Total
Days in session ....................................,,141,135,. .
Time in session ...................................,,"1,017 hrs., 51′","1,054 hrs., 14′",. .
Congressional Record:,,,,
Pages of proceedings ...................,,"11,943","12,439",. .
Extensions of Remarks ................,,. .,"2,203",. .
Public bills enacted into law ...............,,131,279,410
Private bills enacted into law ..............,,13,8,21
Bills in conference ...............................,,26,10,. .
"Measures passed, total .........................",,696,877,"1,573"
Senate bills ..................................,,181,143,. .
House bills ..................................,,270,416,. .
Senate joint resolutions ...............,,10,4,. .
House joint resolutions ...............,,24,26,. .
Senate concurrent resolutions ......,,57,27,. .
House concurrent resolutions ......,,39,80,. .
Simple resolutions .......................,,115,181,. .
"Measures reported, total ......................",,408,501,909
Senate bills ..................................,,256,40,. .
House bills ..................................,,111,312,. .
Senate joint resolutions ...............,,2,. .,. .
House joint resolutions ...............,,1,4,. .
Senate concurrent resolutions ......,,14,. .,. .
House concurrent resolutions ......,,4,9,. .
Simple resolutions .......................,,20,136,. .
Special reports .....................................,,16,40,. .
Conference reports ...............................,,4,27,. .
Measures pending on calendar .............,,302,130,. .
"Measures introduced, total ..................",,"1,546","2,701","4,247"
Bills .............................................,,"1,290","2,164",. .
Joint resolutions ..........................,,19,49,. .
Concurrent resolutions ................,,85,208,. .
Simple resolutions .......................,,152,280,. .
Quorum calls .......................................,,6,3,. .
Yea-and-nay votes ...............................,,298,359,. .
Recorded votes ....................................,,. .,241,. .
Bills vetoed .........................................,,1,6,. .
Vetoes overridden ................................,,0,1,. .
