"",,Senate House,,Total
Days in session ....................................,,167 133,,. .
Time in session ...................................,,"1,454 hrs., 05′ 1,014 hrs., 39′",,. .
Congressional Record:,,,,
Pages of proceedings ...................,,"16,221 12,928",,. .
Extensions of Remarks ................,,". . 2,559",,. .
Public bills enacted into law ...............,,62 136,,198
Private bills enacted into law ..............,,0 0,,0
Bills in conference ...............................,,22 8,,. .
"Measures passed, total .........................",,590 674,,"1,264"
Senate bills ..................................,,183 59,,. .
House bills ..................................,,134 286,,. .
Senate joint resolutions ...............,,5 3,,. .
House joint resolutions ...............,,15 20,,. .
Senate concurrent resolutions ......,,37 8,,. .
House concurrent resolutions ......,,33 77,,. .
Simple resolutions .......................,,183 221,,. .
"Measures reported, total ......................",,*352 *375,,727
Senate bills ..................................,,240 11,,. .
House bills ..................................,,46 233,,. .
Senate joint resolutions ...............,,4 1,,. .
House joint resolutions ...............,,0 3,,. .
Senate concurrent resolutions ......,,10 0,,. .
House concurrent resolutions ......,,1 9,,. .
Simple resolutions .......................,,51 118,,. .
Special reports .....................................,,18 6,,. .
Conference reports ...............................,,3 24,,. .
Measures pending on calendar .............,,153 78,,. .
"Measures introduced, total ..................",,"2,398 4,616",,"7,014"
Bills .............................................,,"2,004 3,700",,. .
Joint resolutions ..........................,,26 83,,. .
Concurrent resolutions ................,,86 348,,. .
Simple resolutions .......................,,283 485,,. .
Quorum calls .......................................,,3 2,,. .
Yea-and-nay votes ...............................,,459 417,,. .
Recorded votes ....................................,,0 258,,. .
Bills vetoed .........................................,,0 0,,. .
Vetoes overridden ................................,,0 0,,. .
