,,Senate House,,Total
Days in session ....................................,,191 159,,. .
Time in session ...................................,,"1,420 hrs., 39′ 1,247 hrs., 24′",,. .
Congressional Record:,,,,
Pages of proceedings ...................,,"14,141 15,507",,. .
Extensions of Remarks ................,,". . 3,068",,. .
Public bills enacted into law ...............,,38 87,,125
Private bills enacted into law ..............,,. . . .,,. .
Bills in conference ...............................,,1 1,,. .
"Measures passed, total .........................",,478 970,,"1,448"
Senate bills ..................................,,66 35,,. .
House bills ..................................,,98 388,,. .
Senate joint resolutions ...............,,5 4,,. .
House joint resolutions ...............,,7 10,,. .
Senate concurrent resolutions ......,,22 11,,. .
House concurrent resolutions ......,,31 68,,. .
Simple resolutions .......................,,249 454,,. .
"Measures reported, total ......................",,*199 *388,,587
Senate bills ..................................,,112 1,,. .
House bills ..................................,,50 233,,. .
Senate joint resolutions ...............,,1 . .,,. .
House joint resolutions ...............,,. . . .,,. .
Senate concurrent resolutions ......,,4 . .,,. .
House concurrent resolutions ......,,1 8,,. .
Simple resolutions .......................,,31 125,,. .
Special reports .....................................,,24 10,,. .
Conference reports ...............................,,. . 11,,. .
Measures pending on calendar .............,,146 60,,. .
"Measures introduced, total ..................",,"3,380 5,699",,"9,079"
Bills .............................................,,"2,920 4,412",,. .
Joint resolutions ..........................,,25 66,,. .
Concurrent resolutions ................,,48 225,,. .
Simple resolutions .......................,,387 996,,. .
Quorum calls .......................................,,3 4,,. .
Yea-and-nay votes ...............................,,397 535,,. .
Recorded votes ....................................,,. . 452,,. .
Bills vetoed .........................................,,. . 1,,. .
Vetoes overridden ................................,,. . . .,,. .
