"",Smau,Hr>use,Total
Days in session......................,1,146,
"Time in session ... ; .................. 1,010 hrs., 47'",,"851 hrs., 45'",
Congressional Record:,,,
Pages of proceedings ..... .,"17,224","10,665","27,889"
Extensions of Remarks .. .,,,"5,985"
Public bills enacted into law ..,101,114,215
Private bills enacted into law.,,6,6
Bills in conference ................ .,3,2,5
Bills through conference ...... .,4,29,33
"Measures passed, total ........ ; ..",596,611,"1,207"
Senate bills .....................,170,70,
House bills .....................,99,234,
Senate joint resolutions ..,89,46,
House joint resolutions ..,34,49,
Senate concurrent reso-,,,
lutions ....................... .,25,16,
House concurrent reso-,,,
lutions ..................... ; ..,15,31,
Simple resolutions ......... .,164,165,
"Measures reported, total ....... .",*570,*497,"1,067"
Senate bills .................... .,270,23,
House bills .....................,44,327,
Senate joint resolutions ..,87,,
House joint resolutions ..,9,9,
Senate concurrent reso-,,,
lutions ........................,19,3,
House concurrent reso-,,,
lutions ........................,2,7,
Simple resolutions ......... .,139,132,
Special reports ..................... ..,25,54,
Conference reports ................,4,33,
Measures pending on calen-,,,
dar .....................................,155,105,
"Measures introduced, total .. ..","2,795","5,642","8,437"
Bills .............................. .,"2,198","4,580",
Joif!t resolutions ............ .,209,440,
Concurrent resolutions ...,86,237,
Simple resolutions ........ ..,302,385,
Quorum calls. ........................,18,35,
Yea-and-nay votes .................,381,297,
Recorded votes ................... ..,,201,
Bills vetoed .......................... .,3,4,7
Vetoes overridden .................,,1,
